Abdul_Bari_Siddiqui Rashtriya_Janata_Dal
Basavaraj_Bommai Bharatiya_Janata_Party

Basil_McCrea Ulster_Unionist_Party

Basil_Mramba Chama_Cha_Mapinduzi

Batt_O'Keeffe Fianna_Fáil

Beni_Prasad_Verma Samajwadi_Party

Benjamin_Abalos Lakas_Kampi_CMD

Benjamin_Mkapa Chama_cha_Mapinduzi

Benjamin_Netanyahu Likud

Bernard_Bigras Bloc_Québécois

Bernard_Drainville Parti_Québécois

Bernard_Durkan Fine_Gael

Bernard_Landry Parti_Québécois

Bernard_Membe Chama_Cha_Mapinduzi

Bernard_Weatherill Crossbencher

Bertie_Ahern Fianna_Fáil

Bethan_Jenkins Plaid_Cymru

Betty_Boothroyd Crossbencher

Beverley_Flynn Fianna_Fáil

Beyene_Petros Medrek

Bhairon_Singh_Shekhawat Bharatiya_Janata_Party

Bhajan_Lal Haryana_Janhit_Congress

Bharat_Barot Bhartiya_Janata_Party

Bhartruhari_Mahtab Biju_Janata_Dal

Bhawani_Singh_Rajawat Bharatiya_Janata_Party

Bhola_Singh Bharatiya_Janata_Party

Bhupen_Hazarika Bharatiya_Janata_Party

Bhushan_Bhatt Bhartiya_Janata_Party

Bijoy_Mohapatra Bharatiya_Janata_Party

Bijoya_Chakravarty Bharatiya_Janata_Party

Biju_Patnaik Janata_Dal

Bikram_Singh_Majithia Shiromani_Akali_Dal

Billy_Abit_Joo Parti_Rakyat_Sarawak

Bimal_Gurung Gorkha_Janmukti_Morcha

Bimalendra_Nidhi Nepali_Congress

Bishnu_Charan_Das Biju_Janata_Dal

Blas_Ople Laban_ng_Demokratikong_Pilipino

Bogdan_Borusewicz Civic_Platform

Bogdan_Klich Civic_Platform

Bogdan_Zdrojewski Civic_Platform

Bolat_Zhamishev Nur_Otan

Bongbong_Marcos Nacionalista_Party

Boris_Nemtsov Solidarnost

Boyko_Borissov GERB

Brahmananda_Panda Biju_Janata_Dal

Braja_Kishore_Tripathy Biju_Janata_Dal

Brajesh_Mishra Bharatiya_Janata_Party

Brajesh_Pathak Bharatiya_Janata_Party

Brendan_Kenneally Fianna_Fáil

Brian_Cowen Fianna_Fáil

Brian_Storseth Conservative

Brian_Ó_Domhnaill Fianna_Fáil

Brijmohan_Agrawal Bharatiya_Janata_Party

Brindaban_Goswami Asom_Gana_Parishad

Bronisław_Komorowski Civic_Platform

Bull_Connor Dixiecrat

Bullet_Prakash Bharatiya_Janata_Party

C._Rajagopalachari Swatantra_Party

Caitríona_Ruane Sinn_Féin

Camil_Bouchard Parti_Québécois

Camille_Laurin Parti_Québécois

Camillus_Glynn Fianna_Fáil

Canaan_Banana ZANU

Caoimhghín_Ó_Caoláin Sinn_Féin

Carlos_Isagani_Zarate Bayan_Muna

Carlos_Menem Justicialist_Party

Carlos_Tomada Justicialist_Party

Carmelo_Abela Partit_Laburista

Carmencita_Reyes Kilusang_Bagong_Lipunan

Carole_Lavallée Bloc_Québécois

Caroline_Pidgeon Liberal_Democrats

Carolyn_Leckie Scottish_Socialist_Party

Cassy_O'Connor Tasmanian_Greens

Catriona_Bhatia Liberal_Democrats

Cecilia_Keaveney Fianna_Fáil

Celso_Lobregat Laban_ng_Demokratikong_Pilipino

Cesar_Virata Kilusang_Bagong_Lipunan

Cesare_Previti Forza_Italia

Chalerm_Yubamrung Pheu_Thai_Party

Champika_Ranawaka Jathika_Hela_Urumaya

Chandan_Mitra Bharatiya_Janata_Party

Chandra_Mohan_Patowary Asom_Gana_Parishad

Chandra_Mohan_Patowary Bharatiya_Janata_Party

Chandrakant_Khaire Shiv_Sena

Chandrakant_Mokate Shiv_Sena

Chandrasena_Wijesinghe Janatha_Vimukthi_Peramuna

Chaovarat_Chanweerakul Bhumjaithai_Party

Charanjit_Singh_Atwal Shiromani_Akali_Dal

Charles_Haughey Fianna_Fáil

Charlie_McConalogue Fianna_Fáil

Charlie_McCreevy Fianna_Fáil

Chaturon_Chaisang Pheu_Thai_Party

Chavalit_Yongchaiyudh Pheu_Thai_Party

Chavit_Singson Nacionalista_Party

Chea_Vichea Sam_Rainsy_Party

Cheam_Channy Sam_Rainsy_Party

Chhedi_Paswan Bharatiya_Janata_Party

Chin_Peng Malayan_Communist_Party

Chitra_Lekha_Yadav Nepali_Congress

Chris_Huhne Liberal_Democrats

Christiane_Gagnon Bloc_Québécois

Christine_Milne Tasmanian_Greens

Christos_Papoutsis Panhellenic_Socialist_Movement

