Aamir_Khan Kiran_Rao
Dario_Fo Franca_Rame
Darshan_Jariwala Apara_Mehta
Dasha_Zhukova Roman_Abramovich
David_Arquette Courteney_Cox
David_Hasselhoff Pamela_Bach
David_Hasselhoff Catherine_Hickland
David_Mamet Rebecca_Pidgeon
David_Mamet Lindsay_Crouse
David_Wharnsby Sarah_Polley
Debashree_Roy Prosenjit_Chatterjee
Debbie_Dingell John_Dingell
Debra_Messing Daniel_Zelman
Debrah_Farentino James_Farentino
Debrah_Farentino Gregory_Hoblit
Deep_Katdare Reshma_Shetty
Deepa_Dasmunsi Priya_Ranjan_Dasmunsi
Deepak_Balraj_Vij Kishori_Shahane
Deepti_Naval Prakash_Jha
Deirdre_Imus Don_Imus
Demi_Moore Ashton_Kutcher
Deng_Xiaoping Zhuo_Lin
Denise_Richards Charlie_Sheen
Dennis_Hopper Katherine_LaNasa
Desmond_Hume Penny_Widmore
Devaki Vasudeva
Devika_Rani Himanshu_Rai
Dharmendra Hema_Malini
Diana_Gribbon_Motz J._Frederick_Motz
Diane_Arbus Allan_Arbus
Diane_Kruger Guillaume_Canet
Diane_Venora Andrzej_Bartkowiak
Dick_Cheney Lynne_Cheney
Dick_Haymes Rita_Hayworth
Diego_Luna Camila_Sodi
Diego_Silang Gabriela_Silang
Diether_Ocampo Kristine_Hermosa
Dino_De_Laurentiis Silvana_Mangano
Diosdado_Macapagal Eva_Macapagal
Dolly_Thakore Alyque_Padamsee
Don_Draper Betty_Draper
Donald_Leka Claire_Leka
Donald_Trump Melania_Trump
Donald_Trump Marla_Maples
Donald_Trump Ivana_Trump
Dondre_Whitfield Salli_Richardson
Dorrit_Moussaieff Ólafur_Ragnar_Grímsson
Dou_Wei Faye_Wong
Dougray_Scott Claire_Forlani
Dulce_Saguisag Rene_Saguisag
Dwight_D._Eisenhower Mamie_Eisenhower
Eamonn_Holmes Ruth_Langsford
Ed_Balls Yvette_Cooper
Ed_Rendell Marjorie_Rendell
Eddie_Mannix Toni_Mannix
Edna_Manley Norman_Manley
Edu_Manzano Vilma_Santos
Edwin_Schlossberg Caroline_Kennedy
Elaine_Chao Mitch_McConnell
Elia_Kazan Barbara_Loden
Elisabeth_Omilami Afemo_Omilami
Elisabeth_Shue Davis_Guggenheim
Elisabetta_Gregoraci Flavio_Briatore
Elliott_Gould Barbra_Streisand
Elon_Musk Talulah_Riley
Elon_Musk Justine_Musk
Elsa_Lanchester Charles_Laughton
Elton_John David_Furnish
Elvis_Presley Priscilla_Presley
Emily_Blunt John_Krasinski
Emily_Mortimer Alessandro_Nivola
Emma_Heming Bruce_Willis
Emma_Pillsbury Will_Schuester
Emmanuelle_Béart Daniel_Auteuil
Emmanuelle_Seigner Roman_Polanski
Epainette_Mbeki Govan_Mbeki
Eric_Cantona Rachida_Brakni
Eric_Fellner Gaby_Dellal
Erich_Maria_Remarque Paulette_Goddard
Ernest_Bai_Koroma Sia_Koroma
Estelle_Reiner Carl_Reiner
Ethan_Hawke Uma_Thurman
Ethel_Kennedy Robert_F._Kennedy
Ethel_Merman Ernest_Borgnine
Eunice_Kennedy_Shriver Sargent_Shriver
Eva_Braun Adolf_Hitler
Eva_Perón Juan_Perón
Evelyn_Lauder Leonard_Lauder
Fahmida_Mirza Zulfiqar_Mirza
Farah_Khan Shirish_Kunder
Farah_Pahlavi Mohammad_Reza_Pahlavi
Fatemeh_Karroubi Mehdi_Karroubi
Fatmawati Sukarno
Faye_Wong Li_Yapeng
Federico_Fellini Giulietta_Masina
Ferdinand_Marcos Imelda_Marcos
Fern_Britton Phil_Vickery
Fernanda_Montenegro Fernando_Torres
Fernando_Lamas Arlene_Dahl
Fleur_Adcock Alistair_Campbell
Francis_Ford_Coppola Eleanor_Coppola
Franco_Nero Vanessa_Redgrave
Frank_Sinatra Mia_Farrow
Frank_Zappa Gail_Zappa
Franklin_D._Roosevelt Eleanor_Roosevelt
François_Mitterrand Danielle_Mitterrand
Fred_Armisen Elisabeth_Moss
Fred_Wertheimer Linda_Wertheimer
Fritz_Lang Thea_von_Harbou
Gabriel_Byrne Ellen_Barkin
Gabriel_Macht Jacinda_Barrett
Garry_Trudeau Jane_Pauley
Gary_Dourdan Roshumba_Williams
Gavin_Newsom Kimberly_Guilfoyle
Gavin_O'Reilly Alison_Doody
Gawn_Grainger Zoë_Wanamaker
Geeta_Dutt Guru_Dutt
Geetu_Mohandas Rajeev_Ravi
Geoffrey_Arend Christina_Hendricks
Geoffrey_Holder Carmen_de_Lavallade
Georg_von_Trapp Maria_von_Trapp
George_Balanchine Vera_Zorina
George_Clooney Talia_Balsam
George_Lakoff Robin_Lakoff
Georges_Pompidou Claude_Pompidou
Georgina_Chapman Harvey_Weinstein
Georgiy_Gongadze Myroslava_Gongadze
Gerald_Scarfe Jane_Asher
Geri_Halliwell Christian_Horner
Ghulam_Mustafa_Khar Tehmina_Durrani
Giada_Colagrande Willem_Dafoe
Gianni_Agnelli Marella_Agnelli
Gidget Moondoggie
Gilda_Radner Gene_Wilder
Gillian_Anderson Clyde_Klotz
Ginger_Rogers Lew_Ayres
Gloria_Swanson Wallace_Beery
Gloria_Vanderbilt Sidney_Lumet
Goddard_Lieberson Vera_Zorina
Gordon_MacRae Sheila_MacRae
Gough_Whitlam Margaret_Whitlam
Graça_Machel Samora_Machel
Gregg_Edelman Carolee_Carmello
Gu_Changwei Jiang_Wenli
Guido_Santi Tina_Mascara
Gunter_Sachs Brigitte_Bardot
Gurinder_Chadha Paul_Mayeda_Berges
Gurmant_Grewal Nina_Grewal
Gurmeet_Choudhary Debina_Bonnerjee
Guthrie_McClintic Katharine_Cornell
Guy_Ritchie Madonna
Guy_Ritchie Jacqui_Ainsley
Gwen_Stefani Gavin_Rossdale
Gwen_Verdon Bob_Fosse
Göran_Persson Anitra_Steen
Hal_Holbrook Dixie_Carter
Haley_Barbour Marsha_Barbour
Hanna_Rosin David_Plotz
Harivansh_Rai_Bachchan Teji_Bachchan
Harold_Pinter Antonia_Fraser
Harold_Pinter Vivien_Merchant
Harriet_Harman Jack_Dromey
Harry_Houdini Bess_Houdini
Hayrünnisa_Gül Abdullah_Gül
Heart_Evangelista Francis_Escudero
Heidi_Montag Spencer_Pratt
Helena_Guergis Rahim_Jaffer
Henry_Fonda Margaret_Sullavan
Henry_Kravis Carolyne_Roehm
Henry_Luce Clare_Boothe_Luce
Holly_Palance Roger_Spottiswoode
Homi_Adajania Anaita_Shroff_Adajania
Homi_Wadia Fearless_Nadia
Hosni_Mubarak Suzanne_Mubarak
Howard_Stern Beth_Ostrosky_Stern
Hu_Jintao Liu_Yongqing
Hugh_Dancy Claire_Danes
Hugh_Hefner Kimberley_Conrad
Humphrey_Bogart Lauren_Bacall
Hunter_Tylo Michael_Tylo
Husain_Haqqani Farahnaz_Ispahani
Iajuddin_Ahmed Anwara_Begum
Ian_Holm Penelope_Wilton
Ibrahim_Babangida Maryam_Babangida
Ida_Odinga Raila_Odinga
Idina_Menzel Taye_Diggs
Ieng_Sary Ieng_Thirith
Ilham_Aliyev Mehriban_Aliyeva
Indira_Gandhi Feroze_Gandhi
Indrani_Mukerjea Peter_Mukerjea
Ingrid_Bergman Roberto_Rossellini
Irving_Abella Rosalie_Abella
Irving_Thalberg Norma_Shearer
Iryna_Khalip Andrei_Sannikov
Izzie_Stevens Alex_Karev
Jacki_Weaver Derryn_Hinch
Jackie_Coogan Betty_Grable
Jacob_Weisberg Deborah_Needleman
Jacqueline_Kennedy_Onassis John_F._Kennedy
Jacques_Chirac Bernadette_Chirac
Jahangir Nur_Jahan
Jaime_Bergman David_Boreanaz
James_Carpinello Amy_Acker
James_Carville Mary_Matalin
James_DeBarge Janet_Jackson
Jamie_Lomas Kym_Marsh
Jamie_Raskin Sarah_Bloom_Raskin
Jane_Fonda Roger_Vadim
Jane_Harman Sidney_Harman
Janet_Gaynor Adrian
Jared_Kushner Ivanka_Trump
Jason_Bateman Amanda_Anka
Jason_O'Mara Paige_Turco
Javed_Akhtar Shabana_Azmi
Javed_Akhtar Honey_Irani
Javier_Bardem Penélope_Cruz
Jay_Leno Mavis_Leno
Jaya_Bachchan Amitabh_Bachchan
Jayne_Mansfield Mickey_Hargitay
Jean_de_Brunhoff Cecile_de_Brunhoff
Jeanne_Moreau William_Friedkin
Jeannette_Kagame Paul_Kagame
Jeannie_Ritter Bill_Ritter
Jed_Whedon Maurissa_Tancharoen
Jeff_Goldblum Geena_Davis
Jeff_Gordon Ingrid_Vandebosch
Jenji_Kohan Christopher_Noxon
Jennet_Conant Steve_Kroft
Jennie_Garth Peter_Facinelli
Jennifer_Aniston Justin_Theroux
Jennifer_Connelly Paul_Bettany
Jenny_Lumet Bobby_Cannavale
Jensen_Ackles Danneel_Harris
Jeri_Kehn_Thompson Fred_Thompson
Jerry_Seinfeld Jessica_Seinfeld
Jesse_Randhawa Sandip_Soparrkar
Jessica_Biel Justin_Timberlake
Jessica_Gavora Jonah_Goldberg
Jessica_Jackley Reza_Aslan
Jessica_Simpson Nick_Lachey
Jessica_Tandy Hume_Cronyn
Jetsun_Pema Jigme_Khesar_Namgyel_Wangchuck
Jia_Zhangke Zhao_Tao
Jiang_Wen Zhou_Yun
Jill_Biden Joe_Biden
Jim_Bakker Tammy_Faye_Messner
Jim_Halpert Pam_Beesly
Jim_Parrack Leven_Rambin
Jim_Sillars Margo_MacDonald
Jimi_Mistry Flavia_Cacace
Jimmy_Carter Rosalynn_Carter
Jin_Yan Qin_Yi
Jinkee_Pacquiao Manny_Pacquiao
Joan_Crawford Franchot_Tone
Joan_Littlewood Ewan_MacColl
Joan_Sutherland Richard_Bonynge
Joanna_Newsom Andy_Samberg
Joanne_Peh Qi_Yuwu
Joe_Lieberman Hadassah_Lieberman
Joe_Manganiello Sofía_Vergara
John_Bercow Sally_Bercow
John_Cassavetes Gena_Rowlands
John_Humphrys Valerie_Sanderson
John_Malkovich Glenne_Headly
John_Ralston_Saul Adrienne_Clarkson
John_Stamos Rebecca_Romijn
Joke_Silva Olu_Jacobs
Jon_Tenney Teri_Hatcher
Jon_Voight Marcheline_Bertrand
Jonas_Salk Françoise_Gilot
Jonathan_Safran_Foer Nicole_Krauss
Joseph_Goebbels Magda_Goebbels
Josh_Brolin Diane_Lane
José_María_Aznar Ana_Botella
Joyce_Brabner Harvey_Pekar
Jude_Law Sadie_Frost
Judith_Viorst Milton_Viorst
Judy_Finnigan Richard_Madeley
Judy_Garland Vincente_Minnelli
Jugnu_Mohsin Najam_Sethi
Juhi_Babbar Bejoy_Nambiar
Juhi_Parmar Sachin_Shroff
Jules_Dassin Melina_Mercouri
Julia_Roberts Daniel_Moder
Julie_Gayet Santiago_Amigorena
Julius_Genachowski Martha_Raddatz
Justine_Thornton Ed_Miliband
Kabir_Bedi Protima_Bedi
Kakoli_Ghosh_Dastidar Sudarshan_Ghosh_Dastidar
Kalki_Koechlin Anurag_Kashyap
Kamal_Haasan Vani_Ganapathy
Karan_Mehra Nisha_Rawal
Karna Vrushali
Kate_Capshaw Steven_Spielberg
Kate_Gosselin Jon_Gosselin
Kate_Winslet Jim_Threapleton
Kate_Winslet Sam_Mendes
Katey_Sagal Kurt_Sutter
Kathryn_Grody Mandy_Patinkin
Kathy_Lette Geoffrey_Robertson
Katniss_Everdeen Peeta_Mellark
Katy_Jurado Ernest_Borgnine
Katy_Perry Russell_Brand
Keeley_Hawes Matthew_Macfadyen
Kelsey_Grammer Camille_Grammer
Ken_Dychtwald Maddy_Dychtwald
Ken_Follett Barbara_Follett
Kevin_Bacon Kyra_Sedgwick
Kevin_Nealon Susan_Yeagley
Khal_Drogo Daenerys_Targaryen
Kid_Rock Pamela_Anderson
Kim_Kardashian Kanye_West
Kimberly_Guilfoyle Eric_Villency
Kiran_Nadar Shiv_Nadar
Kirron_Kher Anupam_Kher
Kirsty_Hume Donovan_Leitch
Kitty_Dukakis Michael_Dukakis
Kizza_Besigye Winnie_Byanyima
Konnie_Huq Charlie_Brooker
